date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:20:32	367/367	---MCZ	200	added ('OK')	text/plain	date:Mon,%2006%20Nov%202017%2015:50:31%20GMT	https://laminogreenlae.wordpress.com/robots.txt		(from )
21:20:32	236977/236977	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Nov%202017%2015:50:32%20GMT	https://laminogreenlae.wordpress.com/	C:/My%20Web%20Sites/greenlae/laminogreenlae.wordpress.com/index.html	(from )
21:20:33	12405/12405	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22573b08bd-30cd%22	https://s1.wp.com/wp-content/plugins/custom-fonts/js/webfont.js	C:/My%20Web%20Sites/greenlae/s1.wp.com/wp-content/plugins/custom-fonts/js/webfont.js	(from https://laminogreenlae.wordpress.com/)
21:20:34	175256/175256	---MCZ	200	added ('OK')	application/rss+xml	date:Tue,%2024%20Oct%202017%2008:50:17%20GMT	https://laminogreenlae.wordpress.com/feed/	C:/My%20Web%20Sites/greenlae/laminogreenlae.wordpress.com/feed/index.html	(from https://laminogreenlae.wordpress.com/)
21:20:34	5605/5605	---MCZ	200	added ('OK')	text/css	etag:W/%22575f1ca1-1f6c%22	https://s0.wp.com/wp-content/mu-plugins/global-print/global-print.css?m=1465851035h	C:/My%20Web%20Sites/greenlae/s0.wp.com/wp-content/mu-plugins/global-print/global-print6805.css	(from https://laminogreenlae.wordpress.com/)
21:20:34	20606/20606	---MCZ	200	added ('OK')	text/css	etag:W/%2256456473-637d%22	https://s1.wp.com/wp-content/mu-plugins/highlander-comments/style.css?m=1377793621h	C:/My%20Web%20Sites/greenlae/s1.wp.com/wp-content/mu-plugins/highlander-comments/style0196.css	(from https://laminogreenlae.wordpress.com/)
21:20:34	877/877	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%2285c7b546bd408ce7f075748b3bd10b86%22	https://laminogreenlae.wordpress.com/comments/feed/	C:/My%20Web%20Sites/greenlae/laminogreenlae.wordpress.com/comments/feed/index.html	(from https://laminogreenlae.wordpress.com/)
21:20:35	895/895	---MCZ	200	added ('OK')	text/xml	date:Mon,%2006%20Nov%202017%2015:50:34%20GMT	https://laminogreenlae.wordpress.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/greenlae/laminogreenlae.wordpress.com/xmlrpc0db0.php	(from https://laminogreenlae.wordpress.com/)
21:20:35	14410/14410	---MCZ	200	added ('OK')	text/css	etag:W/%2258db9921-384a%22	https://s2.wp.com/_static/??/wp-content/mu-plugins/actionbar/actionbar.css,/wp-content/themes/h4/global.css?m=1490786585j	C:/My%20Web%20Sites/greenlae/s2.wp.com/_static/index1331.html	(from https://laminogreenlae.wordpress.com/)
21:20:35	1598/1598	---MCZ	200	added ('OK')	application/xml	date:Mon,%2006%20Nov%202017%2015:50:35%20GMT	https://laminogreenlae.wordpress.com/osd.xml	C:/My%20Web%20Sites/greenlae/laminogreenlae.wordpress.com/osd.xml	(from https://laminogreenlae.wordpress.com/)
